,Review URL,Text,Star,Cleaned_Text,Compound Value Vader,Negative,Neutral,Positive
74,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHSEuVnewZ4zEJduTekXR5qvt5qqGc9PLtyvv2962hRy7ixNl2WEtCPvOmBhBRYXUEdWG_H9dh5e-YSl3Y,Won't update.,1,won t update ,0.5719,0.0,0.351,0.649
75,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHkEC6AN_sm8TdDYsok_TeRJTgi1mRmPg_tZlhDys7eR_RyxFH4byG2r9S581X6vqSZ_oMuUT2wMhyALF8,Takes 5 ever but it's having help right L S,1,takes   ever but it s having help right l s,0.8201,0.0,0.514,0.486
76,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEkB5aDMlXexaJtsAZbUIHLw2lLdBS5Vtr_yFi24jYcZNEo7f5QUJjIs2QOHJd80mmyHUuEtTd3keNLBM4,"New update, but won't let me update",1,new update  but won t let me update,0.7227,0.0,0.581,0.419
77,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFcyDFFyWCKLj2_CGxx3b9Cb5V3GqYRm86wnwx1s7hNbs0tf4NVKfMsAO6GfBD5MHgngSDLSZnrrOdHREE,Nice app for us guys 2,1,nice app for us guys  ,0.4215,0.0,0.588,0.412
78,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGbgkd4mm71sR1Wiqi7MwG8uU1vLrR1k06kgoQ7rhFInVWUu-eeAGAGQDa_tHVWLCObJacaT014zsYqiVc,Very useful for me keep using guys good app !!!,1,very useful for me keep using guys good app    ,0.7264,0.0,0.535,0.465
79,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEh8CT3IKgGqpDQv7GdwTMTHGuq8CpzpKMh6YrR9-rtNJ9cwo0LH-zY89ZiyOU_7Rc90CcD9pFpq1wVJgQ,Keep saying update but won't,1,keep saying update but won t,0.7227,0.0,0.498,0.502
80,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHQJfLyTQNQGEkNuLdrI4838MM199iHO4LKuDSe3tE0_JGErgUiNqolBBlC9cPL5WGqEuRXVCr3cXUsXgo,Not working. Worst update for mobile devices,1,not working  worst update for mobile devices,0.5096,0.0,0.646,0.354
81,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHziC_JSFiu9wYnzdG2YyxOdc4zE05qplyf5m9eLYmc32xJNjQezW3ud3UaTFezbpfUk3KeTxO4iT15wZQ,Thanks Best Western Union Bank LTD for you and broth and Jell-O salad for lunch tomorrow,1,thanks best western union bank ltd for you and broth and jell o salad for lunch tomorrow,0.7964,0.0,0.679,0.321
82,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE-Z3HtPqIU2Q_o72iNSW1VpyownRNdv-JiAzJVgM-MtYvZSSStwc7EmxNSc-R3TN8XO_9nUUJpFp0tMUw,Chrome won't update . 🤬,1,chrome won t update    ,0.5719,0.0,0.448,0.552
83,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGbIAi8210_UvTa-wFOgyV6iccx-BamneHvxar_K8e8s3bW2Um_Dyay8c_6u39XPOiYKve4IShsT9s4jog,Card view was much better! I definitely need it to be returned,1,card view was much better  i definitely need it to be returned,0.6808,0.0,0.641,0.359
84,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGekYnEZ4bl_PNd0qSWBLP8kN6QRaLRnjeRD-gSJ3D1W5q3U9hk4XUIu_mR7QgJ2Y9YB7-Uj673r69KCeY,I can't update it plz help me out,1,i can t update it plz help me out,0.4588,0.0,0.636,0.364
85,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGqyCgqz5CZSgy9kx5FEmozdSeXB6cqXq_V0c5OrASYgjREbUtcZVPwJ5j9RMVsoQGuWVegiAfm3ag8src,Very good,1,very good,0.4927,0.0,0.238,0.762
86,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEnRGo8YJ-xqFojEghcROtsmG8CVQWQWGXIZbzT6OW_pShUm2cSgMwg1hohr7nl4KnVw7tgaL8FjLpLs2g,Won't update,1,won t update,0.5719,0.0,0.351,0.649
87,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFDVmgI4O4NvqgtqpySI08Vn89w8pd2kY_MuAlZAhCTHsa0RuCSUeETm3VzFvlJpHDmU0BI6mHdoixk_Gk,Won't updating why?,1,won t updating why ,0.5719,0.0,0.448,0.552
88,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEkP2PxoehlJ33TCZQbv_FJi0kcYfVn-jbMStK2yQ5I3gW7PB-nhhSuY3ujYKtL2YT4xJnW_XdxGtn-k-I,Previous version was much better,1,previous version was much better,0.4404,0.0,0.58,0.42
89,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEwypqUkmkz2A81T7G8ywMbvswakzhWpBwHxYwBsAk6FuMMBHYVdzqFducawpAQE1XCymxCdtFoRPzMvIY,App won't update,1,app won t update,0.5719,0.0,0.448,0.552
90,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFZQPUKHGf-6m5S1X6h83R8UCinZpcnImDbfq9SiDYIRr6gJqLgccIJlC3n8lZrMN74YRDN7Ay3RCzQc_8,"Won't UPDATE, WHY NOT???",1,won t update  why not   ,0.5719,0.0,0.519,0.481
91,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE3PZiQRGSgm27AjgABL1p8NniaN1DmsPVznvUgMWIG5WNURe2B5uIlgEV_R44XR1cpXYCGtCoNdI6SjuE,Very nice 👌👌😊👌👌👌👌👌👌👌👌👌👌👌👌 you have you,1,very nice                 you have you,0.4754,0.0,0.564,0.436
92,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEdPAhLcaeP_pgiOI9_ZsejYj-k4GnwaBj3GtcqTD3ZNImZrUkF5pVihrSvQmbAHyl6U_VFuOSmbcXy45A,Google is always safe,1,google is always safe,0.4404,0.0,0.508,0.492
93,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFD6P3qNnKS3-nqYMW-cW-YsQnyo9ZDQnSxs1rng6pgdvtlEtcSwo0Qj1A3hx1qfpSupFptwhsoiz2e_T4,It won't update,1,it won t update,0.5719,0.0,0.448,0.552
94,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF_GYB4K-tSSqzDvvaB1iFpwVL-D8Po08oeTy3aOMHAog_CvJXCs7zFhNUnOqDKp6mZFC3cx9AGK7GgjnQ,I am unable to update it ..tried many times but same result .kindly help me out,1,i am unable to update it   tried many times but same result  kindly help me out,0.8338,0.0,0.641,0.359
95,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEbjwCZuHcpQb6lOhFEmNDlGT-Rim6eP_NyCNsOfn7Vnm-FylmbgNx-nuMKzJZ1LXyzry-iIkNztKuKoHs,Won't update on my note 10+ 5g,1,won t update on my note 10   g,0.5719,0.0,0.654,0.346
96,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFqTnUe24ojK3j13H_ARAoVkteWpHT88Gj-keKcALECKwp0JAlqynzYDPlbL8a2-Kyvd3y1WXqV_0yorTY,Nice app,1,nice app,0.4215,0.0,0.263,0.737
97,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFabLoB4xLDSyCdlLgoCXQHMQyny6gtiyIFU-xa-iqZO7ePqxUAuTP7SZPB6hC6SSORkrvxwIhvyZ_bhUA,"Cannot update chrome, it just won't let me",1,cannot update chrome  it just won t let me,0.5719,0.0,0.684,0.316
98,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFqJUf9hrV0WnhI8lhHMXlzly75CoY2wUazX7UxadglTPRG45IlskEF56MNV2IV_QI5cDRZbChJQREW7c8,It won't allow me to update the app.....Why?,1,it won t allow me to update the app     why ,0.6808,0.0,0.588,0.412
99,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFEfJ1NqS40BHTu1jI_jn_kaHXZ3WhwCYqgdCEyMnWkyfsbd7bOMF3kvK2GBAO7uww3fLqGEdPnPINd-lk,Please add dark mode like samsung browser,1,please add dark mode like samsung browser,0.5859,0.0,0.51,0.49
100,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGxJqpWCl0BsTcXA7NzxetZGnYolco_DaA2y06qMzv5GNfhCbGIPPV_qmHQz5nQtlrXKQLsNH6ueGYP8vM,It won't load. ://,1,it won t load     ,0.5719,0.0,0.448,0.552
101,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFWF6t_w4DkwZ8jIrfGVwEIaJ7tTr7DHDUFtfZ3WxAdwnozwwmWaAlH0GGYzquc73WSJ3sfwo9EoB3JDWo,Need improvement,1,need improvement,0.4588,0.0,0.25,0.75
102,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHxJSVJshc9sndq21-j8NEKi9YTtEG0F28StvG9BhmpqFnKZu2r-btG-iuUko81wGswXm0ROYG0RD7kiJI,Heart of 6 mobile,1,heart of   mobile,0.6369,0.0,0.323,0.677
103,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGzGaQNmHbdHAEfQnKzhtO1vbPke4TJkYccUFKpxCEb4MBva8l8V5AlBgolER2YiI1MFLqtVkCGiwPtTVU,Good app,1,good app,0.4404,0.0,0.256,0.744
104,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEL20C4u8eL6I2vCF_srn-vAe-XdF9ul9iQmXqMsYWG5TomRDcYBwVcXsBIkL1GiGC2bE7J4Xd8U1DM2To,Its good,1,its good,0.4404,0.0,0.256,0.744
105,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFGzO7V4Wf2YiSMjs-KrgObEECMnnkSWCW5jhUmHygz4Zyj8N90V4hZkJCu9ZVqqfGctrnSeOfbBtvn0-g,Won't update at all....I've tried all sorts of things and it just won't do it.,1,won t update at all    i ve tried all sorts of things and it just won t do it ,0.8126,0.0,0.697,0.303
106,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOETBJBTu2cGF1Pe-InDokmpFqyaaX39yF2nupPTk1rQX3fwLsRp_jqAnygseU6V9Gbi5NxEwp-J6873RMM,"Chrome is good, I trust this update will make it better.",1,chrome is good  i trust this update will make it better ,0.8442,0.0,0.468,0.532
